,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2014,4,2014,9,none,area,8918.20543058
1,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2014,4,2014,9,none,production,11970.22948083
2,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2014,4,2014,9,none,yield,1.342224012892189
3,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2015,4,2015,9,none,area,9490.68194552
4,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2015,4,2015,9,none,production,13286.95472373
5,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2015,4,2015,9,none,yield,1.4000000000002106
6,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2016,4,2016,9,none,area,11591.91892826
7,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2016,4,2016,9,none,production,16228.68649956
8,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Sesame Seed,Main,2016,4,2016,9,none,yield,1.399999999999655
9,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2014,4,2014,9,none,area,28920.14989776
10,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2014,4,2014,9,none,production,29616.99687115
11,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2014,4,2014,9,none,yield,1.0240955519198045
12,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2015,4,2015,9,none,area,33134.0152496
13,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2015,4,2015,9,none,production,33134.0152496
14,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2015,4,2015,9,none,yield,1.0
15,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Groundnuts (In Shell),Main,2016,4,2016,9,none,area,38279.7102
