,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1997,1,1997,12,All (PS),area,65200.0
1,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1997,1,1997,12,All (PS),production,442000.0
2,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1997,1,1997,12,All (PS),yield,6.779141104294479
3,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1998,1,1998,12,All (PS),area,65900.0
4,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1998,1,1998,12,All (PS),production,463000.0
5,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1998,1,1998,12,All (PS),yield,7.0257966616084975
6,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1999,1,1999,12,All (PS),area,65300.0
7,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1999,1,1999,12,All (PS),production,463800.0
8,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,1999,1,1999,12,All (PS),yield,7.10260336906585
9,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2000,1,2000,12,All (PS),area,55000.0
10,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2000,1,2000,12,All (PS),production,375370.0
11,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2000,1,2000,12,All (PS),yield,6.824909090909091
12,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2001,1,2001,12,All (PS),area,57750.0
13,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2001,1,2001,12,All (PS),production,392700.0
14,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2001,1,2001,12,All (PS),yield,6.8
15,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2002,1,2002,12,All (PS),area,63290.0
16,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2002,1,2002,12,All (PS),production,442000.0
17,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2002,1,2002,12,All (PS),yield,6.983725707062727
18,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2003,1,2003,12,All (PS),area,59700.0
19,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2003,1,2003,12,All (PS),production,412000.0
20,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2003,1,2003,12,All (PS),yield,6.901172529313233
21,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2004,1,2004,12,All (PS),area,56040.0
22,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2004,1,2004,12,All (PS),production,438104.0
23,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2004,1,2004,12,All (PS),yield,7.817701641684511
24,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2005,1,2005,12,All (PS),area,52471.0
25,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2005,1,2005,12,All (PS),production,418200.0
26,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2005,1,2005,12,All (PS),yield,7.970116826437461
27,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2006,1,2006,12,All (PS),area,53500.0
28,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2006,1,2006,12,All (PS),production,410105.0
29,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2006,1,2006,12,All (PS),yield,7.665514018691589
30,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2007,1,2007,12,All (PS),area,52566.0
31,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2007,1,2007,12,All (PS),production,406960.0
32,GH2018A102,Ghana,GH,Eastern,none,Eastern,Taro,Annual,2007,1,2007,12,All (PS),yield,7.741886390442492
