,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2019,5,2019,11,none,area,184.0
1,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2019,5,2019,11,none,production,3.0
2,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2019,5,2019,11,none,yield,0.016304347826086956
3,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2020,5,2020,11,none,area,256.0
4,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2022,5,2022,11,none,area,3.0
5,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2022,5,2022,11,none,production,2.63
6,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2022,5,2022,11,none,yield,0.8766666666666666
7,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2006,5,2006,11,All (PS),area,757.0
8,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2006,5,2006,11,All (PS),production,187.0
9,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2006,5,2006,11,All (PS),yield,0.24702774108322326
10,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2007,5,2007,11,All (PS),area,379.0
11,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2007,5,2007,11,All (PS),production,57.0
12,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2007,5,2007,11,All (PS),yield,0.1503957783641161
13,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2008,5,2008,11,All (PS),area,61.0
14,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2008,5,2008,11,All (PS),production,23.0
15,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2008,5,2008,11,All (PS),yield,0.3770491803278688
16,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2009,5,2009,11,All (PS),area,757.0
17,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2010,5,2010,11,All (PS),area,146.0
18,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2010,5,2010,11,All (PS),production,6.0
19,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2010,5,2010,11,All (PS),yield,0.0410958904109589
20,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2011,5,2011,11,All (PS),area,16.0
21,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2011,5,2011,11,All (PS),production,1.0
22,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2011,5,2011,11,All (PS),yield,0.0625
23,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2013,5,2013,11,All (PS),area,174.0
24,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2013,5,2013,11,All (PS),production,115.0
25,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2013,5,2013,11,All (PS),yield,0.6609195402298851
26,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2014,5,2014,11,All (PS),area,264.0
27,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2014,5,2014,11,All (PS),production,69.0
28,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2014,5,2014,11,All (PS),yield,0.26136363636363635
29,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2015,5,2015,11,All (PS),area,47.0
30,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2015,5,2015,11,All (PS),production,31.0
31,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2015,5,2015,11,All (PS),yield,0.6595744680851063
32,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2016,5,2016,11,All (PS),area,238.0
33,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2016,5,2016,11,All (PS),production,2.0
34,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Winter,2016,5,2016,11,All (PS),yield,0.008403361344537815
35,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,2018,10,2019,7,none,area,70.0
36,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,2018,10,2019,7,none,production,48.0
37,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,2018,10,2019,7,none,yield,0.6857142857142857
38,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,2019,10,2020,7,none,area,421.0
39,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1981,10,1982,7,All (PS),area,300.0
40,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1981,10,1982,7,All (PS),production,100.0
41,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1981,10,1982,7,All (PS),yield,0.3333333333333333
42,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1982,10,1983,7,All (PS),area,100.0
43,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1983,10,1984,7,All (PS),area,400.0
44,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1983,10,1984,7,All (PS),production,185.0
45,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1983,10,1984,7,All (PS),yield,0.4625
46,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1984,10,1985,7,All (PS),area,400.0
47,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1984,10,1985,7,All (PS),production,164.0
48,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1984,10,1985,7,All (PS),yield,0.41
49,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1985,10,1986,7,All (PS),area,100.0
50,LS1980A101,Lesotho,LS,Berea,none,Berea,Pea,Summer,1985,10,1986,7,All (PS),production,12.0
