,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1984,6,1984,12,All (PS),area,230.0
1,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1984,6,1984,12,All (PS),production,274.0
2,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1984,6,1984,12,All (PS),yield,1.191304347826087
3,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1987,6,1987,12,All (PS),area,192.0
4,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1989,6,1989,12,All (PS),area,166.0
5,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1990,6,1990,12,All (PS),area,767.0
6,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1990,6,1990,12,All (PS),production,550.0
7,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1990,6,1990,12,All (PS),yield,0.7170795306388527
8,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1992,6,1992,12,All (PS),area,808.0
9,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1992,6,1992,12,All (PS),production,10.0
10,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1992,6,1992,12,All (PS),yield,0.012376237623762377
11,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1993,6,1993,12,All (PS),area,220.0
12,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1994,6,1994,12,All (PS),area,199.0
13,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1994,6,1994,12,All (PS),production,98.0
14,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1994,6,1994,12,All (PS),yield,0.49246231155778897
15,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1995,6,1995,12,All (PS),area,199.0
16,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1995,6,1995,12,All (PS),production,98.0
17,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1995,6,1995,12,All (PS),yield,0.49246231155778897
18,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1996,6,1996,12,All (PS),area,1204.0
19,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1996,6,1996,12,All (PS),production,1216.0
20,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1996,6,1996,12,All (PS),yield,1.0099667774086378
21,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1997,6,1997,12,All (PS),area,627.0
22,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1997,6,1997,12,All (PS),production,772.0
23,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1997,6,1997,12,All (PS),yield,1.2312599681020733
24,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1998,6,1998,12,All (PS),area,918.0
25,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1998,6,1998,12,All (PS),production,846.0
26,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1998,6,1998,12,All (PS),yield,0.9215686274509803
27,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2000,6,2000,12,All (PS),area,532.0
28,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2000,6,2000,12,All (PS),production,539.0
29,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2000,6,2000,12,All (PS),yield,1.013157894736842
30,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2002,6,2002,12,All (PS),area,443.0
31,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2003,6,2003,12,All (PS),area,1300.0
32,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2003,6,2003,12,All (PS),production,1020.0
33,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2003,6,2003,12,All (PS),yield,0.7846153846153846
34,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2004,6,2004,12,All (PS),area,467.0
35,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2004,6,2004,12,All (PS),production,219.0
36,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2004,6,2004,12,All (PS),yield,0.4689507494646681
37,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2005,6,2005,12,All (PS),area,1676.0
38,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2005,6,2005,12,All (PS),production,1259.0
39,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2005,6,2005,12,All (PS),yield,0.7511933174224343
40,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2006,6,2006,12,All (PS),area,154.0
41,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2006,6,2006,12,All (PS),production,94.0358759719798
42,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2006,6,2006,12,All (PS),yield,0.6106225712466221
43,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2007,6,2007,12,All (PS),area,84.0
44,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2007,6,2007,12,All (PS),production,53.0
45,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2007,6,2007,12,All (PS),yield,0.6309523809523809
46,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2008,6,2008,12,All (PS),area,1064.0
47,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2008,6,2008,12,All (PS),production,898.0
48,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2008,6,2008,12,All (PS),yield,0.8439849624060151
49,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2009,6,2009,12,All (PS),area,928.0
50,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2009,6,2009,12,All (PS),production,710.0
51,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2009,6,2009,12,All (PS),yield,0.7650862068965517
52,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2010,6,2010,12,All (PS),area,928.0
53,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2010,6,2010,12,All (PS),production,710.0
54,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2010,6,2010,12,All (PS),yield,0.7650862068965517
55,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2011,6,2011,12,All (PS),area,846.0
56,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2011,6,2011,12,All (PS),production,710.0
57,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2011,6,2011,12,All (PS),yield,0.8392434988179669
58,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2012,6,2012,12,All (PS),area,813.0
59,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2012,6,2012,12,All (PS),production,592.0
60,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2012,6,2012,12,All (PS),yield,0.7281672816728167
61,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2013,6,2013,12,All (PS),area,1131.0
62,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2013,6,2013,12,All (PS),production,556.0
63,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2013,6,2013,12,All (PS),yield,0.4916003536693192
64,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2015,6,2015,12,All (PS),area,2147.0
65,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2015,6,2015,12,All (PS),production,1073.5
66,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2015,6,2015,12,All (PS),yield,0.5
67,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2016,6,2016,12,All (PS),area,1750.0
68,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2016,6,2016,12,All (PS),production,1277.0
69,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2016,6,2016,12,All (PS),yield,0.7297142857142858
70,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2017,6,2017,12,All (PS),area,4054.0
71,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2017,6,2017,12,All (PS),production,734.0
72,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2017,6,2017,12,All (PS),yield,0.18105574740996547
73,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2018,6,2018,12,All (PS),area,1714.0
74,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2018,6,2018,12,All (PS),production,1328.0
75,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2018,6,2018,12,All (PS),yield,0.7747957992998833
76,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2019,6,2019,12,All (PS),area,1481.0
77,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2019,6,2019,12,All (PS),production,1139.0
78,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2019,6,2019,12,All (PS),yield,0.7690749493585415
79,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2020,6,2020,12,All (PS),area,2635.0
80,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2020,6,2020,12,All (PS),production,2042.0
81,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2020,6,2020,12,All (PS),yield,0.7749525616698292
82,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2021,6,2021,12,All (PS),area,1681.0
83,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2021,6,2021,12,All (PS),production,1129.9682
84,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2021,6,2021,12,All (PS),yield,0.6722
85,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1984,6,1984,12,All (PS),area,290.0
86,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1985,6,1985,12,All (PS),area,108.0
87,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1992,6,1992,12,All (PS),area,148.0
88,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1994,6,1994,12,All (PS),area,2550.0
89,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1994,6,1994,12,All (PS),production,3020.0
90,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1994,6,1994,12,All (PS),yield,1.184313725490196
91,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1995,6,1995,12,All (PS),area,13897.0
92,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1995,6,1995,12,All (PS),production,11600.0
93,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1995,6,1995,12,All (PS),yield,0.8347125278837159
94,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1996,6,1996,12,All (PS),area,12680.0
95,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1996,6,1996,12,All (PS),production,11680.0
96,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1996,6,1996,12,All (PS),yield,0.9211356466876972
97,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1997,6,1997,12,All (PS),area,21056.0
98,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1997,6,1997,12,All (PS),production,27037.0
99,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,1997,6,1997,12,All (PS),yield,1.2840520516717324
100,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2000,6,2000,12,All (PS),area,24458.0
101,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2000,6,2000,12,All (PS),production,22427.0
102,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2000,6,2000,12,All (PS),yield,0.9169596859923134
103,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2001,6,2001,12,All (PS),area,34378.0
104,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2001,6,2001,12,All (PS),production,36036.0
105,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2001,6,2001,12,All (PS),yield,1.0482285182384083
106,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2002,6,2002,12,All (PS),area,32522.0
107,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2002,6,2002,12,All (PS),production,35255.0
108,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2002,6,2002,12,All (PS),yield,1.084035422175758
109,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2003,6,2003,12,All (PS),area,42781.0
110,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2003,6,2003,12,All (PS),production,38436.0
111,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2003,6,2003,12,All (PS),yield,0.8984362216871976
112,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2004,6,2004,12,All (PS),area,47737.0
113,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2004,6,2004,12,All (PS),production,47081.0
114,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2004,6,2004,12,All (PS),yield,0.9862580388377987
115,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2005,6,2005,12,All (PS),area,38879.0
116,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2005,6,2005,12,All (PS),production,43728.0
117,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2005,6,2005,12,All (PS),yield,1.1247202860155867
118,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2006,6,2006,12,All (PS),area,38823.0
119,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2006,6,2006,12,All (PS),production,37892.0
120,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2006,6,2006,12,All (PS),yield,0.9760193699611055
121,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2007,6,2007,12,All (PS),area,29875.0
122,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2007,6,2007,12,All (PS),production,21015.0
123,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2007,6,2007,12,All (PS),yield,0.7034309623430962
124,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2008,6,2008,12,All (PS),area,14274.0
125,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2008,6,2008,12,All (PS),production,15350.0
126,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2008,6,2008,12,All (PS),yield,1.0753818130867312
127,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2009,6,2009,12,All (PS),area,13084.0
128,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2009,6,2009,12,All (PS),production,9200.0
129,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2009,6,2009,12,All (PS),yield,0.7031488841332926
130,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2010,6,2010,12,All (PS),area,12771.0
131,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2010,6,2010,12,All (PS),production,11108.0
132,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2010,6,2010,12,All (PS),yield,0.8697831023412419
133,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2011,6,2011,12,All (PS),area,36695.0
134,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2011,6,2011,12,All (PS),production,31616.0
135,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2011,6,2011,12,All (PS),yield,0.8615887723123041
136,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2012,6,2012,12,All (PS),area,38055.0
137,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2012,6,2012,12,All (PS),production,35101.0
138,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2012,6,2012,12,All (PS),yield,0.9223755091315202
139,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2013,6,2013,12,All (PS),area,38000.0
140,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2013,6,2013,12,All (PS),production,35000.0
141,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2013,6,2013,12,All (PS),yield,0.9210526315789473
142,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2014,6,2014,12,All (PS),area,38179.0
143,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2014,6,2014,12,All (PS),production,35184.0
144,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2014,6,2014,12,All (PS),yield,0.9215537337279657
145,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2015,6,2015,12,All (PS),area,41178.0
146,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2015,6,2015,12,All (PS),production,33755.0
147,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2015,6,2015,12,All (PS),yield,0.8197338384574288
148,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2016,6,2016,12,All (PS),area,51261.0
149,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2016,6,2016,12,All (PS),production,48873.0
150,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2016,6,2016,12,All (PS),yield,0.9534148768069293
151,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2017,6,2017,12,All (PS),area,57058.0
152,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2017,6,2017,12,All (PS),production,56600.0
153,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2017,6,2017,12,All (PS),yield,0.9919730800238354
154,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2019,6,2019,12,All (PS),area,86803.0
155,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2019,6,2019,12,All (PS),production,88000.0
156,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2019,6,2019,12,All (PS),yield,1.0137898459730654
157,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2020,6,2020,12,All (PS),area,70262.0
158,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2020,6,2020,12,All (PS),production,72000.0
159,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2020,6,2020,12,All (PS),yield,1.0247359881586064
160,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2021,6,2021,12,All (PS),area,90248.0
161,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2021,6,2021,12,All (PS),production,95114.0
162,ML2016A101,Mali,ML,Kayes,none,Kayes,Cotton,Main,2021,6,2021,12,All (PS),yield,1.0539180923676978
163,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1982,6,1982,12,All (PS),area,1013.0
164,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1982,6,1982,12,All (PS),production,1153.0
165,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1982,6,1982,12,All (PS),yield,1.138203356367226
166,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1983,6,1983,12,All (PS),area,1364.0
167,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1983,6,1983,12,All (PS),production,1209.0
168,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1983,6,1983,12,All (PS),yield,0.8863636363636364
169,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1984,6,1984,12,All (PS),area,932.0
170,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1984,6,1984,12,All (PS),production,1101.0
171,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1984,6,1984,12,All (PS),yield,1.1813304721030042
172,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1985,6,1985,12,All (PS),area,1149.0
173,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1985,6,1985,12,All (PS),production,126.0
174,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1985,6,1985,12,All (PS),yield,0.10966057441253264
175,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1986,6,1986,12,All (PS),area,485.0
176,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1986,6,1986,12,All (PS),production,96.0
177,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1986,6,1986,12,All (PS),yield,0.1979381443298969
178,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1987,6,1987,12,All (PS),area,502.0
179,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1987,6,1987,12,All (PS),production,193.0
180,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1987,6,1987,12,All (PS),yield,0.3844621513944223
181,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1988,6,1988,12,All (PS),area,1196.0
182,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1989,6,1989,12,All (PS),area,1279.0
183,ML2016A101,Mali,ML,Kayes,none,Kayes,Rice,Main,1990,6,1990,12,All (PS),area,2811.0
