,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1989,6,1989,11,All (PS),area,7393.0
1,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1989,6,1989,11,All (PS),production,3696.0
2,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1989,6,1989,11,All (PS),yield,0.4999323684566482
3,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1990,6,1990,11,All (PS),area,12322.0
4,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1990,6,1990,11,All (PS),production,6161.0
5,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1990,6,1990,11,All (PS),yield,0.5
6,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1991,6,1991,11,All (PS),area,3205.0
7,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1991,6,1991,11,All (PS),production,641.0
8,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1991,6,1991,11,All (PS),yield,0.2
9,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1992,6,1992,11,All (PS),area,748.0
10,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1992,6,1992,11,All (PS),production,262.0
11,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1992,6,1992,11,All (PS),yield,0.3502673796791444
12,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1993,6,1993,11,All (PS),area,2952.0
13,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1993,6,1993,11,All (PS),production,590.0
14,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1993,6,1993,11,All (PS),yield,0.19986449864498645
15,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Annual,1998,6,1998,11,All (PS),area,3937.0
