,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,1999,3,1999,10,All (PS),area,15090.0
1,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,1999,3,1999,10,All (PS),production,130000.0
2,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,1999,3,1999,10,All (PS),yield,8.614976805831677
3,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2000,3,2000,10,All (PS),area,15690.0
4,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2000,3,2000,10,All (PS),production,136000.0
5,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2000,3,2000,10,All (PS),yield,8.667941363926067
6,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2001,3,2001,10,All (PS),area,17810.0
7,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2001,3,2001,10,All (PS),production,136000.0
8,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2001,3,2001,10,All (PS),yield,7.636159460976979
9,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2002,3,2002,10,All (PS),area,16300.0
10,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2002,3,2002,10,All (PS),production,136000.0
11,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2002,3,2002,10,All (PS),yield,8.343558282208589
12,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2003,3,2003,10,All (PS),area,16700.0
13,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2003,3,2003,10,All (PS),production,146600.0
14,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2003,3,2003,10,All (PS),yield,8.778443113772456
15,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2004,3,2004,10,All (PS),area,16600.0
16,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2004,3,2004,10,All (PS),production,155000.0
17,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2004,3,2004,10,All (PS),yield,9.337349397590362
18,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2005,3,2005,10,All (PS),area,23820.0
19,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2005,3,2005,10,All (PS),production,213000.0
20,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2005,3,2005,10,All (PS),yield,8.942065491183879
21,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2006,3,2006,10,All (PS),area,21857.0
22,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2006,3,2006,10,All (PS),production,210300.0
23,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2006,3,2006,10,All (PS),yield,9.621631513931463
24,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2007,3,2007,10,All (PS),area,21860.0
25,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2007,3,2007,10,All (PS),production,151200.0
26,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2007,3,2007,10,All (PS),yield,6.916742909423605
27,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2008,3,2008,10,All (PS),area,16420.0
28,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2008,3,2008,10,All (PS),production,151170.0
29,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2008,3,2008,10,All (PS),yield,9.206455542021924
30,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2009,3,2009,10,All (PS),area,17000.0
31,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2009,3,2009,10,All (PS),production,154200.0
32,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2009,3,2009,10,All (PS),yield,9.070588235294117
33,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2010,3,2010,10,All (PS),area,11150.0
34,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2010,3,2010,10,All (PS),production,149570.0
35,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2010,3,2010,10,All (PS),yield,13.414349775784753
36,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2011,3,2011,10,All (PS),area,10900.0
37,NG1996A101,Nigeria,NG,Abia,none,Abia,Taro,Annual,2011,3,2011,10,All (PS),production,146417.0
