,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2012,3,2012,8,agro_pastoral,area,3000.0
1,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2012,3,2012,8,agro_pastoral,production,210.0
2,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2012,3,2012,8,agro_pastoral,yield,0.07
3,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2013,3,2013,8,agro_pastoral,area,3500.0
4,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2013,3,2013,8,agro_pastoral,production,1750.0
5,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2013,3,2013,8,agro_pastoral,yield,0.5
6,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2014,3,2014,8,agro_pastoral,area,6000.0
7,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2014,3,2014,8,agro_pastoral,production,2800.0
8,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2014,3,2014,8,agro_pastoral,yield,0.4666666666666667
9,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2015,3,2015,8,agro_pastoral,area,2000.0
10,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2016,3,2016,8,agro_pastoral,area,6000.0
11,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2016,3,2016,8,agro_pastoral,production,3600.0
12,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2016,3,2016,8,agro_pastoral,yield,0.6
13,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2017,3,2017,8,agro_pastoral,area,2000.0
14,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2017,3,2017,8,agro_pastoral,production,30.0
15,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2017,3,2017,8,agro_pastoral,yield,0.015
16,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2018,3,2018,8,agro_pastoral,area,1000.0
17,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2018,3,2018,8,agro_pastoral,production,40.0
18,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2018,3,2018,8,agro_pastoral,yield,0.04
19,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2019,3,2019,8,agro_pastoral,area,500.0
20,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2019,3,2019,8,agro_pastoral,production,10.0
21,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2019,3,2019,8,agro_pastoral,yield,0.02
22,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2020,3,2020,8,agro_pastoral,area,1000.0
23,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2020,3,2020,8,agro_pastoral,production,150.0
24,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2020,3,2020,8,agro_pastoral,yield,0.15
25,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1998,3,1998,8,none,area,2010.0
26,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1998,3,1998,8,none,production,1005.0
27,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1998,3,1998,8,none,yield,0.5
28,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1999,3,1999,8,none,area,2225.0
29,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1999,3,1999,8,none,production,1780.0
30,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,1999,3,1999,8,none,yield,0.8
31,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2000,3,2000,8,none,area,1550.0
32,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2000,3,2000,8,none,production,465.0
33,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2000,3,2000,8,none,yield,0.3
34,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2001,3,2001,8,none,area,830.0
35,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2001,3,2001,8,none,production,250.0
36,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2001,3,2001,8,none,yield,0.30120481927710846
37,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2002,3,2002,8,none,area,1600.0
38,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2002,3,2002,8,none,production,320.0
39,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2002,3,2002,8,none,yield,0.2
40,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2003,3,2003,8,none,area,2375.0
41,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2003,3,2003,8,none,production,475.0
42,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2003,3,2003,8,none,yield,0.2
43,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2004,3,2004,8,none,area,1200.0
44,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2004,3,2004,8,none,production,480.0
45,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2004,3,2004,8,none,yield,0.4
46,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2005,3,2005,8,none,area,2600.0
47,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Maize,Gu,2005,3,2005,8,none,production,1170.0
