,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1983,6,1983,11,none,area,33418.988312201574
1,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1983,6,1983,11,none,production,4100.389245354839
2,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1983,6,1983,11,none,yield,0.1226963906581741
3,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1985,6,1985,11,none,area,64425.56557851174
4,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1985,6,1985,11,none,production,22137.419009356458
5,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1985,6,1985,11,none,yield,0.3436123348017621
6,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1986,6,1986,11,none,area,24649.16462772575
7,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1986,6,1986,11,none,production,3697.374694158862
8,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1986,6,1986,11,none,yield,0.15
9,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1987,6,1987,11,none,area,10288.223578066303
10,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1987,6,1987,11,none,production,1543.2335367099454
11,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1987,6,1987,11,none,yield,0.15
12,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1988,6,1988,11,none,area,20063.455042550402
13,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1988,6,1988,11,none,production,5335.685607383351
14,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1988,6,1988,11,none,yield,0.2659405170279733
15,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1989,6,1989,11,none,area,15802.001883249284
16,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1989,6,1989,11,none,production,632.1936005556604
