,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1991,9,1992,7,none,area,62605.06689756418
1,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1991,9,1992,7,none,production,73688.04143246582
2,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1991,9,1992,7,none,yield,1.1770299926847112
3,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1992,9,1993,7,none,area,21822.0
4,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1992,9,1993,7,none,production,21268.0
5,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1992,9,1993,7,none,yield,0.9746127760975163
6,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1993,9,1994,7,none,area,48045.0
7,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1993,9,1994,7,none,production,56600.0
8,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1993,9,1994,7,none,yield,1.1780622333229265
9,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1994,9,1995,7,none,area,55240.0
10,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1994,9,1995,7,none,production,117720.0
11,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1994,9,1995,7,none,yield,2.131064446053584
12,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1995,9,1996,7,none,area,47673.0
13,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1995,9,1996,7,none,production,102831.0
14,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1995,9,1996,7,none,yield,2.1570071109433013
15,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1996,9,1997,7,none,area,39752.0
16,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1996,9,1997,7,none,production,40995.0
17,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1996,9,1997,7,none,yield,1.0312688669752466
18,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1997,9,1998,7,none,area,50593.0
19,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1997,9,1998,7,none,production,67040.0
20,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1997,9,1998,7,none,yield,1.3250844978554346
21,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1998,9,1999,7,none,area,51462.0
22,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1998,9,1999,7,none,production,82868.0
23,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1998,9,1999,7,none,yield,1.6102755431191949
24,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1999,9,2000,7,none,area,61948.0
25,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1999,9,2000,7,none,production,16459.0
26,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,1999,9,2000,7,none,yield,0.26569057919545425
27,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2000,9,2001,7,none,area,44831.0
28,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2000,9,2001,7,none,production,57652.0
29,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2000,9,2001,7,none,yield,1.2859851442082488
30,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2003,9,2004,7,none,area,67000.0
31,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2003,9,2004,7,none,production,73000.0
32,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2003,9,2004,7,none,yield,1.0895522388059702
33,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2004,9,2005,7,none,area,63400.0
34,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2004,9,2005,7,none,production,53100.0
35,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2004,9,2005,7,none,yield,0.8375394321766562
36,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2005,9,2006,7,none,area,45500.07297754
37,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2005,9,2006,7,none,production,109527.75862992
38,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2005,9,2006,7,none,yield,2.4071996254596275
39,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2006,9,2007,7,none,area,77028.56608109
40,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2006,9,2007,7,none,production,122891.36387098001
41,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2006,9,2007,7,none,yield,1.5953998642738467
42,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2009,9,2010,7,none,area,78900.68281704
43,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2009,9,2010,7,none,production,127614.66902348
44,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2009,9,2010,7,none,yield,1.6174089306603485
45,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2010,9,2011,7,none,area,121452.0
46,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2010,9,2011,7,none,production,109307.0
47,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2010,9,2011,7,none,yield,0.9000016467410994
48,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2011,9,2012,7,none,area,123976.0
49,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2011,9,2012,7,none,production,86783.0
50,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2011,9,2012,7,none,yield,0.699998386784539
51,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2012,9,2013,7,none,area,125354.0
52,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2012,9,2013,7,none,production,150425.0
53,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2012,9,2013,7,none,yield,1.2000015954815961
54,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2013,9,2014,7,none,area,117938.0
55,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2013,9,2014,7,none,production,165113.2
56,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Annual,2013,9,2014,7,none,yield,1.4000000000000001
57,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2003,3,2003,8,none,area,85368.0
58,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2003,3,2003,8,none,production,77561.0
59,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2003,3,2003,8,none,yield,0.9085488707712491
60,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2008,3,2008,8,none,area,106212.40058543
61,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2008,3,2008,8,none,production,180023.21488108
62,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2008,3,2008,8,none,yield,1.6949359386362952
63,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2015,3,2015,8,none,area,124411.0
64,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2015,3,2015,8,none,production,126291.0
65,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Long,2015,3,2015,8,none,yield,1.015111203993216
66,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Short,2002,10,2003,4,none,area,14618.0
67,TZ2012A101,"Tanzania, United Republic of",TZ,Arusha,none,Arusha,Maize,Short,2002,10,2003,4,none,production,14556.0
