,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sweet Potatoes,First,2009,3,2009,7,none,area,267.0
1,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sweet Potatoes,First,2009,3,2009,7,none,production,816.0
2,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sweet Potatoes,First,2009,3,2009,7,none,yield,3.056179775280899
3,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sweet Potatoes,Second,2008,8,2008,12,none,area,289.0
4,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sweet Potatoes,Second,2008,8,2008,12,none,production,3527.0
5,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sweet Potatoes,Second,2008,8,2008,12,none,yield,12.204152249134948
6,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,First,2009,3,2009,7,none,area,1.0
7,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,Second,2008,8,2008,12,none,area,4.0
8,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Beans (mixed),First,2009,3,2009,7,none,area,8.0
9,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Beans (mixed),First,2009,3,2009,7,none,production,27.0
10,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Beans (mixed),First,2009,3,2009,7,none,yield,3.375
11,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Beans (mixed),Second,2008,8,2008,12,none,area,7.0
12,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Beans (mixed),Second,2008,8,2008,12,none,production,28.0
13,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Beans (mixed),Second,2008,8,2008,12,none,yield,4.0
14,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Maize,First,2009,3,2009,7,none,area,64.0
15,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Maize,First,2009,3,2009,7,none,production,651.0
16,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Maize,First,2009,3,2009,7,none,yield,10.171875
17,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Maize,Second,2008,8,2008,12,none,area,80.0
18,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Maize,Second,2008,8,2008,12,none,production,125.0
19,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Maize,Second,2008,8,2008,12,none,yield,1.5625
20,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,First,2009,3,2009,7,none,area,271.0
21,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,First,2009,3,2009,7,none,production,225.0
22,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,First,2009,3,2009,7,none,yield,0.8302583025830258
23,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,Second,2008,8,2008,12,none,area,253.0
24,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,Second,2008,8,2008,12,none,production,306.0
25,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Banana,Second,2008,8,2008,12,none,yield,1.209486166007905
26,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Cassava,First,2009,3,2009,7,none,area,534.0
27,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Cassava,First,2009,3,2009,7,none,production,3563.0
28,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Cassava,First,2009,3,2009,7,none,yield,6.6722846441947565
29,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Cassava,Second,2008,8,2008,12,none,area,577.0
30,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Cassava,Second,2008,8,2008,12,none,production,4387.0
31,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Cassava,Second,2008,8,2008,12,none,yield,7.6031195840554595
32,UG2007A20106,Uganda,UG,Central,Kalangala,Kalangala,Sorghum,Second,2008,8,2008,12,none,area,2.0
33,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Sweet Potatoes,First,2009,3,2009,7,none,area,31.0
34,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Sweet Potatoes,First,2009,3,2009,7,none,production,76.0
35,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Sweet Potatoes,First,2009,3,2009,7,none,yield,2.4516129032258065
36,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Sweet Potatoes,Second,2008,8,2008,12,none,area,80.0
37,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Sweet Potatoes,Second,2008,8,2008,12,none,production,720.0
38,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Sweet Potatoes,Second,2008,8,2008,12,none,yield,9.0
39,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,First,2009,3,2009,7,none,area,1.0
40,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,First,2009,3,2009,7,none,production,11.0
41,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,First,2009,3,2009,7,none,yield,11.0
42,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,Second,2008,8,2008,12,none,area,22.0
43,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,Second,2008,8,2008,12,none,production,64.0
44,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,Second,2008,8,2008,12,none,yield,2.909090909090909
45,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Beans (mixed),First,2009,3,2009,7,none,area,97.0
46,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Beans (mixed),First,2009,3,2009,7,none,production,5.0
47,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Beans (mixed),First,2009,3,2009,7,none,yield,0.05154639175257732
48,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Beans (mixed),Second,2008,8,2008,12,none,area,28.0
49,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Beans (mixed),Second,2008,8,2008,12,none,production,62.0
50,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Beans (mixed),Second,2008,8,2008,12,none,yield,2.2142857142857144
51,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Maize,First,2009,3,2009,7,none,area,69.0
52,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Maize,First,2009,3,2009,7,none,production,46.0
53,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Maize,First,2009,3,2009,7,none,yield,0.6666666666666666
54,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Maize,Second,2008,8,2008,12,none,area,68.0
55,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Maize,Second,2008,8,2008,12,none,production,199.0
56,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Maize,Second,2008,8,2008,12,none,yield,2.926470588235294
57,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,First,2009,3,2009,7,none,area,264.0
58,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,First,2009,3,2009,7,none,production,721.0
59,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,First,2009,3,2009,7,none,yield,2.731060606060606
60,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,Second,2008,8,2008,12,none,area,384.0
61,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,Second,2008,8,2008,12,none,production,2158.0
62,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Banana,Second,2008,8,2008,12,none,yield,5.619791666666667
63,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Cassava,First,2009,3,2009,7,none,area,58.0
64,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Cassava,First,2009,3,2009,7,none,production,167.0
65,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Cassava,First,2009,3,2009,7,none,yield,2.8793103448275863
66,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Cassava,Second,2008,8,2008,12,none,area,126.0
67,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Cassava,Second,2008,8,2008,12,none,production,887.0
68,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Cassava,Second,2008,8,2008,12,none,yield,7.0396825396825395
69,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Potato,Second,2008,8,2008,12,none,area,1.0
70,UG2007A20108,Uganda,UG,Central,Kampala,Kampala,Groundnuts (In Shell),First,2009,3,2009,7,none,production,2.0
71,UG2007A20109,Uganda,UG,Central,Kayunga,Kayunga,Sweet Potatoes,First,2009,3,2009,7,none,area,3471.0
72,UG2007A20109,Uganda,UG,Central,Kayunga,Kayunga,Sweet Potatoes,First,2009,3,2009,7,none,production,14069.0
73,UG2007A20109,Uganda,UG,Central,Kayunga,Kayunga,Sweet Potatoes,First,2009,3,2009,7,none,yield,4.05329876116393
74,UG2007A20109,Uganda,UG,Central,Kayunga,Kayunga,Sweet Potatoes,Second,2008,8,2008,12,none,area,4658.0
75,UG2007A20109,Uganda,UG,Central,Kayunga,Kayunga,Sweet Potatoes,Second,2008,8,2008,12,none,production,15262.0
76,UG2007A20109,Uganda,UG,Central,Kayunga,Kayunga,Sweet Potatoes,Second,2008,8,2008,12,none,yield,3.2765135251180766
