,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
0,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854200,60648,68095,1636,617,crop:harvested,12669,46127,92,920955,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
1,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854148,60647,68094,1636,617,crop:harvested,12669,46127,92,920955,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
2,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1995-12-01,1995-12-31,Main harvest,Harvest,1995-08-01,Main harvest 1995,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854100,60646,68093,1636,617,crop:harvested,12669,46127,92,920955,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:35,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:54,Ad Hoc,1995-12-31,"FEWS Agman Archive, Liberia",
3,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Collected,1348.0,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854201,60648,68095,1636,617,crop:planted,12669,46127,92,920956,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
4,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Not Collected,,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854149,60647,68094,1636,617,crop:planted,12669,46127,92,920956,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
5,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1995-12-01,1995-12-31,Main harvest,Harvest,1995-08-01,Main harvest 1995,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Not Collected,,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854101,60646,68093,1636,617,crop:planted,12669,46127,92,920956,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:35,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:54,Ad Hoc,1995-12-31,"FEWS Agman Archive, Liberia",
6,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,1840.0,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",t,Tonne,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854202,60648,68095,1636,617,crop:quantity,12669,46127,92,920957,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
7,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,200.0,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",t,Tonne,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854150,60647,68094,1636,617,crop:quantity,12669,46127,92,920957,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
8,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1995-12-01,1995-12-31,Main harvest,Harvest,1995-08-01,Main harvest 1995,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,1800.0,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",t,Tonne,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854102,60646,68093,1636,617,crop:quantity,12669,46127,92,920957,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:35,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:54,Ad Hoc,1995-12-31,"FEWS Agman Archive, Liberia",
9,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Bomi, Liberia",Bomi,LR1985A103,Liberia,Bomi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,1.36,,,Rice (Paddy),LR,"Bomi, Liberia (01/01/1985 - 12/31/1999)",MT/ha,tonnes per hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854203,60648,68095,1636,617,crop:yield,12669,46127,92,920958,"FEWS Agman Archive, Liberia: Bomi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
