,country,crop,outlier_cnt,low_variance_cnt,outlier_pct,low_variance_pct
0,Angola,Banana,0,0,0.0,0.0
5,Angola,Beans (mixed),0,0,0.0,0.0
12,Angola,Cassava,0,0,0.0,0.0
23,Angola,Chili Pepper,0,0,0.0,0.0
26,Angola,Coffee,0,0,0.0,0.0
27,Angola,Groundnuts (In Shell),0,5,0.0,1.9230769230769231
34,Angola,Lemon,0,0,0.0,0.0
36,Angola,Maize,0,0,0.0,0.0
57,Angola,Mango,0,0,0.0,0.0
59,Angola,Onions,0,0,0.0,0.0
62,Angola,Pineapple,0,0,0.0,0.0
65,Angola,Potato,0,0,0.0,0.0
78,Angola,Sorghum,0,0,0.0,0.0
83,Angola,Soybean,0,0,0.0,0.0
84,Angola,Sweet Potatoes,0,0,0.0,0.0
101,Angola,Tomato,0,0,0.0,0.0
132,Angola,Cabbage,0,0,0.0,0.0
155,Angola,Garlic,0,0,0.0,0.0
201,Angola,Millet,0,0,0.0,0.0
231,Angola,Rice,0,0,0.0,0.0
301,Angola,Carrots,0,0,0.0,0.0
458,Angola,Avocado,0,0,0.0,0.0
880,Angola,Wheat,0,0,0.0,0.0
930,Angola,Cowpea,0,0,0.0,0.0
1458,Angola,Okras,0,0,0.0,0.0
1988,Angola,Green Bean,0,0,0.0,0.0
2717,Burkina Faso,Bambara groundnut,12,0,0.860832137733142,0.0
2753,Burkina Faso,Cotton,2,0,0.18535681186283595,0.0
2772,Burkina Faso,Cowpea,6,4,0.4297994269340974,0.28653295128939826
2804,Burkina Faso,Groundnuts (In Shell),3,0,0.20491803278688525,0.0
2843,Burkina Faso,Maize,2,4,0.125,0.25
2888,Burkina Faso,Millet,1,0,0.06675567423230974,0.0
2927,Burkina Faso,Rice,0,0,0.0,0.0
2967,Burkina Faso,Sesame Seed,7,0,0.5559968228752978,0.0
2996,Burkina Faso,Sorghum,8,0,0.5351170568561873,0.0
3035,Burkina Faso,Sorghum (Red),0,0,0.0,0.0
3050,Burkina Faso,Soybean,3,0,0.4398826979472141,0.0
3054,Burkina Faso,Sweet Potatoes,2,0,0.3284072249589491,0.0
3389,Burkina Faso,Fonio,0,0,0.0,0.0
3623,Burkina Faso,Yams,0,0,0.0,0.0
7147,Burkina Faso,Potato,0,0,0.0,0.0
18367,Burundi,Banana,0,0,0.0,0.0
18415,Burundi,Beans (mixed),0,0,0.0,0.0
18458,Burundi,Bush Bean,0,0,0.0,0.0
18467,Burundi,Cassava,0,0,0.0,0.0
18519,Burundi,Cowpea,0,0,0.0,0.0
18528,Burundi,Groundnuts (In Shell),0,0,0.0,0.0
18536,Burundi,Maize,0,0,0.0,0.0
18588,Burundi,Pea,0,0,0.0,0.0
18631,Burundi,Pigeon Pea,0,0,0.0,0.0
18634,Burundi,Pole Bean,0,0,0.0,0.0
18642,Burundi,Potato,0,0,0.0,0.0
18652,Burundi,Rice,0,0,0.0,0.0
18670,Burundi,Sorghum,0,0,0.0,0.0
18689,Burundi,Soybean,0,0,0.0,0.0
18696,Burundi,Sweet Potatoes,0,0,0.0,0.0
18742,Burundi,Taro,0,0,0.0,0.0
18786,Burundi,Yams,0,0,0.0,0.0
18985,Burundi,Millet,0,0,0.0,0.0
19203,Burundi,Wheat,0,0,0.0,0.0
20117,Burundi,Sunflower Seed,0,0,0.0,0.0
26050,Benin,Bambara groundnut,10,22,0.9302325581395349,2.046511627906977
26074,Benin,Cabbage,0,0,0.0,0.0
26081,Benin,Carrots,0,0,0.0,0.0
26088,Benin,Cassava,5,12,0.24449877750611246,0.58679706601467
26113,Benin,Cowpea,10,10,0.49067713444553485,0.49067713444553485
26140,Benin,Cucumber,0,0,0.0,0.0
26147,Benin,Eggplant,0,0,0.0,0.0
26160,Benin,Goussi,27,21,2.6973026973026974,2.097902097902098
26180,Benin,Groundnuts (In Shell),6,4,0.2949852507374631,0.19665683382497542
26207,Benin,Lettuce,0,0,0.0,0.0
26219,Benin,Maize,5,4,0.24224806201550386,0.1937984496124031
26246,Benin,Millet,2,13,0.28776978417266186,1.870503597122302
26267,Benin,Molokhia,0,5,0.0,1.1990407673860912
26273,Benin,Okras,9,8,0.5988023952095808,0.5322687957418496
26296,Benin,Onions,2,0,0.5420054200542005,0.0
26298,Benin,Rice,3,19,0.1865671641791045,1.181592039800995
26325,Benin,Sorghum,13,13,1.169064748201439,1.169064748201439
26352,Benin,Soybean,3,5,0.25380710659898476,0.4230118443316413
26375,Benin,Sweet Potatoes,7,6,0.36900369003690037,0.316288877174486
26402,Benin,Tomato,14,8,0.712468193384224,0.4071246819338422
26428,Benin,Watermelon,0,0,0.0,0.0
26434,Benin,Yams,1,23,0.0764525993883792,1.7584097859327217
26678,Benin,Pigeon Pea,5,8,0.7552870090634441,1.2084592145015105
26708,Benin,Sesame Seed,3,0,1.4705882352941178,0.0
28384,Benin,Taro,10,14,2.2222222222222223,3.111111111111111
29422,Benin,Sugarcane,0,0,0.0,0.0
30404,Benin,Geocarpa groundnut,0,4,0.0,1.0
35083,Benin,Pineapple,0,0,0.0,0.0
37093,Benin,Fonio,2,0,1.2578616352201257,0.0
37267,Benin,Potato,0,0,0.0,0.0
52820,DRC,Banana,0,0,0.0,0.0
52831,DRC,Beans (mixed),0,0,0.0,0.0
52838,DRC,Cassava,0,0,0.0,0.0
52849,DRC,Maize,0,0,0.0,0.0
52860,DRC,Rice,0,0,0.0,0.0
53815,Central African Republic,Cassava,0,0,0.0,0.0
53818,Central African Republic,Groundnuts (In Shell),0,0,0.0,0.0
53821,Central African Republic,Maize,0,0,0.0,0.0
53824,Central African Republic,Rice,0,0,0.0,0.0
53827,Central African Republic,Sesame Seed,0,0,0.0,0.0
54037,Cameroon,Banana,0,17,0.0,4.336734693877551
54045,Cameroon,Beans (mixed),0,14,0.0,2.9166666666666665
54046,Cameroon,Cassava,0,4,0.0,0.89086859688196
54047,Cameroon,Groundnuts (In Shell),0,25,0.0,4.084967320261438
54048,Cameroon,Maize,0,8,0.0,1.1299435028248588
54059,Cameroon,Soybean,0,10,0.0,3.745318352059925
54069,Cameroon,Squash and Melon Seeds,0,0,0.0,0.0
54078,Cameroon,Sweet Potatoes,0,8,0.0,1.7278617710583153
54091,Cameroon,Taro,0,23,0.0,4.291044776119403
54101,Cameroon,Yams,0,5,0.0,1.1210762331838564
54133,Cameroon,Millet,0,8,0.0,4.651162790697675
54204,Cameroon,Okras,0,0,0.0,0.0
54206,Cameroon,Pam Nut,0,8,0.0,2.8268551236749118
54213,Cameroon,Rice,0,4,0.0,1.7543859649122806
54216,Cameroon,Sesame Seed,0,0,0.0,0.0
54283,Cameroon,Melon,0,0,0.0,0.0
54285,Cameroon,Potato,0,0,0.0,0.0
54346,Cameroon,Cowpea,0,0,0.0,0.0
54527,Cameroon,Tomato,0,0,0.0,0.0
54528,Cameroon,Watermelon,0,0,0.0,0.0
54668,Cameroon,Bambara groundnut,0,0,0.0,0.0
55851,Cameroon,Onions,0,0,0.0,0.0
56436,Cameroon,Pineapple,0,0,0.0,0.0
60204,Ethiopia,Barley,0,4,0.0,0.49813200498132004
60217,Ethiopia,Beans (White),0,0,0.0,0.0
60222,Ethiopia,Chick Peas,0,0,0.0,0.0
60238,Ethiopia,Chili Pepper,0,0,0.0,0.0
60244,Ethiopia,Fava Bean,2,0,0.26143790849673204,0.0
60259,Ethiopia,Field Peas,1,0,0.14556040756914118,0.0
60265,Ethiopia,Green Peppers,0,0,0.0,0.0
60267,Ethiopia,Hops,0,0,0.0,0.0
60275,Ethiopia,Lemon,0,0,0.0,0.0
60280,Ethiopia,Linseed,1,0,0.17543859649122806,0.0
60295,Ethiopia,Maize,0,0,0.0,0.0
60311,Ethiopia,Millet,0,0,0.0,0.0
60327,Ethiopia,Neug,0,0,0.0,0.0
60340,Ethiopia,Onions,0,0,0.0,0.0
60341,Ethiopia,Orange,0,0,0.0,0.0
60342,Ethiopia,Papaya,0,0,0.0,0.0
60346,Ethiopia,Sesame Seed,0,0,0.0,0.0
60360,Ethiopia,Sorghum,1,0,0.11312217194570136,0.0
60376,Ethiopia,Teff,0,0,0.0,0.0
60392,Ethiopia,Tomato,0,0,0.0,0.0
60438,Ethiopia,Ethiopian Cabbage,0,0,0.0,0.0
60455,Ethiopia,Fenugreek,0,0,0.0,0.0
60477,Ethiopia,Garlic,0,0,0.0,0.0
60492,Ethiopia,Lentils,0,0,0.0,0.0
60574,Ethiopia,Potato,1,0,0.28653295128939826,0.0
60595,Ethiopia,Soybean,0,0,0.0,0.0
60613,Ethiopia,Wheat,0,0,0.0,0.0
60646,Ethiopia,Cabbage,0,0,0.0,0.0
60663,Ethiopia,Coffee,1,0,0.21321961620469082,0.0
61042,Ethiopia,Sunflower Seed,0,0,0.0,0.0
61076,Ethiopia,Banana,0,0,0.0,0.0
61201,Ethiopia,Rice,0,0,0.0,0.0
61290,Ethiopia,Beet,0,0,0.0,0.0
61526,Ethiopia,Oats,0,0,0.0,0.0
61549,Ethiopia,Rape,0,0,0.0,0.0
62084,Ethiopia,Mango,0,0,0.0,0.0
62476,Ethiopia,Sugarcane,0,0,0.0,0.0
62480,Ethiopia,Sweet Potatoes,0,0,0.0,0.0
63122,Ethiopia,Avocado,0,0,0.0,0.0
63977,Ethiopia,Groundnuts (In Shell),0,0,0.0,0.0
64029,Ethiopia,Mung bean,0,0,0.0,0.0
64440,Ethiopia,Carrots,0,0,0.0,0.0
64699,Ethiopia,Taro,0,0,0.0,0.0
